tau1,tau2,R1,R2,C1,C2,r2
81.70591578,1640.459731,0.06364051971173827,1.0185706763861884e-11,1283.8662561225067,161055071487059.38,0.9813716739091745
81.70591578,1640.459731,0.06963048471415614,3.5762847797363943e-09,1173.4216143319318,458705005903.0582,0.9846408447417969
81.70591578,1640.459731,0.0756023814168304,4.011219479399579e-08,1080.7320384462234,40896783121.06603,0.9835065756734008
81.70591578,1640.459731,0.0751939810138539,1.608182939485689e-11,1086.601808792998,102007034816861.9,0.9764884638080519
81.70591578,1640.459731,0.059624387050016374,1.0694527218547956e-08,1370.3439116524646,153392449939.71155,0.9483942501365531
81.70591578,1640.459731,0.06585622817610498,0.005685077160875915,1240.6710502993224,288555.4029573189,0.9394718552506527
81.70591578,1640.459731,0.07228304306892461,0.023502716233249957,1130.3607638943802,69798.72942001466,0.9569928423085652
81.70591578,1640.459731,0.07296842657017169,0.15491836825444197,1119.7434235672563,10589.188031632673,0.9737189220971235
81.70591578,1640.459731,0.05988735662008669,2.2178312923175778e-11,1364.3266357258985,73966840340040.52,0.7273866758485341
81.70591578,1640.459731,0.04207313467216984,2.660519010029322e-13,1941.9973438310528,6165938769149859.0,0.6552718299188136
81.70591578,1640.459731,0.047300829125750746,0.026788168238350295,1727.3675174441921,61238.21966488534,0.9611052995888688
81.70591578,1640.459731,0.06515229255505618,5.342806237881826e-09,1254.0758364098297,307040842950.42035,0.9189239158655028
81.70591578,1640.459731,0.062222617079369526,1.9194990952378856e-13,1313.1224563534204,8546290722771588.0,0.8323082609390235
81.70591578,1640.459731,0.04218900271488469,0.0031529982947572565,1936.6638347005382,520285.6385072342,0.9937403145085095
81.70591578,1640.459731,0.05040746675241079,0.06340607102731652,1620.9089851969663,25872.281698281844,0.9981656102666571
