OCV,Ro,delta_t,a1,a2,tau1,tau2,r2
4.064802169799805,0.07548495903423501,1.015136302645429,-0.007716145552205531,-0.003012667146819544,50.082209859184076,1741.3222371342272,0.9710690277371936
3.9556195735931396,0.07561962470097922,1.015385382470995,-0.010407771996715122,-0.0037547567912775467,45.166139920030844,2097.75425625625,0.9707480544124037
3.85518479347229,0.0777387188910269,1.015638442200399,-0.015295430786902786,-0.004289844289746042,39.07742679622267,1527.6858907840933,0.9813811090453044
3.76592755317688,0.07694282816598394,1.000024497499547,-0.02322120855535086,-0.006273409057958821,94.68165226194984,1140.7472439878632,0.9903318247680667
3.6778039932250977,0.07628111195267485,1.000041680258181,-0.008187601637298668,-0.006267041241697428,80.12575467012918,1275.0239209854428,0.9863812988517898
3.635524272918701,0.07642944598857837,1.015514939869599,-0.0112142371283868,-0.003782872383630838,65.16043286749874,1597.081681885261,0.9839226746964879
3.607985734939575,0.07644320070460935,1.015579084491022,-0.014187732405548431,-0.0055675226957704535,132.38029468049703,1725.2976953962345,0.9869178917568533
3.5611701011657715,0.0771049460743387,1.015621474978119,-0.012150370166952843,-0.005010176278870951,78.29789100588312,1917.3926262746866,0.9862474527519423
3.4770965576171875,0.07838659716714151,1.015601670695924,-0.008294147452266948,-0.007008007339595604,75.6743830979918,2479.96815801085,0.9883857104757805
3.3392415046691895,0.08407029432506262,1.015404354682614,-0.015635983853774925,-0.03521248782709091,51.48738555074507,2789.2839490441506,0.988137524865002
3.491837739944458,0.07777824084002752,1.015821512764456,0.011764419421515803,0.0043114563867312685,36.14727746652805,513.4252441770368,0.9865701997229103
3.58028507232666,0.07679234537289137,1.015368625772596,0.009980090170570359,0.004090450529105256,63.52122938465297,1592.0371382517621,0.9827636905513698
3.6165711879730225,0.07646829987346965,1.015541886926313,0.008833877612011971,0.004319335168412504,82.15182205190543,1867.3000804647643,0.9798543143747361
3.6452436447143555,0.07631989286210211,1.000276710120955,0.011918502731271293,0.004185122919227398,59.433735880248,1616.941037517924,0.9812437258504738
3.686551570892334,0.07679234537289137,1.015559946867783,0.015910938222042165,0.004272472021414724,73.98141112173211,2250.0000006580126,0.9736355930429614
3.775322914123535,0.07614425437404794,1.015345247596905,0.0075326879838157855,0.004650739539797971,78.78373299956438,1994.913098848604,0.9844889729334101
3.8650662899017334,0.07582020887462622,1.015605485188141,0.009908789838381886,0.005131478532620583,72.77668018768087,1793.069640064986,0.9852726863125861
3.965177059173584,0.07598187395822292,1.015560939337505,0.012688231621992091,0.005601939093205749,88.48387115033803,1848.5171250784838,0.987945294895081
4.073711395263672,0.07614425437404794,1.015548974563626,0.015420154599656321,0.006499568244129923,104.90778458584379,1812.1672680191514,0.989146792190387
