SOC,OCV_sam1_0degC,OCV_sam2_0degC,OCV_sam2_25degC
0.0,2.8480089902877808,2.876855731010437,2.766831159591675
0.01,3.0840166696755746,3.0934567171340195,3.107920735266223
0.02,3.2199143269522317,3.2311942965397233,3.234643341913517
0.03,3.3058420289979695,3.321144700050354,3.31943837566906
0.04,3.367984844713381,3.3836502489837716,3.381869460870745
0.05,3.4094857017287072,3.419272303581238,3.423178829478907
0.06,3.436834287397737,3.43277700554043,3.4383480548858643
0.07,3.445850796151216,3.4434945056848036,3.4466339565710356
0.08,3.452096425072631,3.4513847254140346,3.4531765163507195
0.09,3.4578271388729007,3.4594268708107907,3.4590624570846558
0.1,3.465113832481204,3.4689687261489026,3.4649169622536133
0.11,3.4728953244530447,3.4778884767165428,3.4710096890499873
0.12,3.4815471216993554,3.4863221882290993,3.477649478646618
0.13,3.491531274271292,3.49532341533079,3.4853415999923723
0.14,3.500873019731943,3.5048505938021433,3.4954607553787853
0.15,3.510207837907219,3.5153529810908246,3.5065230062766695
0.16,3.519641632406941,3.526284590900963,3.516664339046991
0.17,3.5305419716312674,3.535920520947465,3.527274012565613
0.18,3.5403618647479558,3.5437535285086414,3.5374005595978115
0.19,3.548876394583821,3.550502530299412,3.5457125955708597
0.2,3.5564481406014865,3.557876530724906,3.553667705159752
0.21,3.563281254471352,3.566284257123878,3.562232667866006
0.22,3.5697593478544762,3.5733978461569293,3.569790818486575
0.23,3.5756607055664062,3.5775243043899536,3.57542556813417
0.24,3.5799274487903023,3.5806483550102444,3.580392632747034
0.25,3.583691247774074,3.5836051147386474,3.5847832909316635
0.26,3.5873521285957035,3.5876302761046706,3.5884898184216514
0.27,3.5897069015626677,3.591238426786339,3.5919021711781065
0.28,3.5919019584522687,3.593571616057595,3.5951896384564765
0.29,3.5951966277538414,3.5958151607516085,3.5982946153615005
0.3,3.5980649393796247,3.5982108964126907,3.6012929501948863
0.31,3.6008796503461484,3.601995587348938,3.604240768920431
0.32,3.6043830252724782,3.6062967518782134,3.607124580074549
0.33,3.6070035149415824,3.608571885994213,3.6098886728286743
0.34,3.6091690682861737,3.610669078648487,3.6128797825446446
0.35000000000000003,3.612204347330901,3.6129087640614577,3.6156311073868963
0.36,3.6147983074188232,3.616000435773535,3.6184656620025635
0.37,3.617336614692066,3.620713472366333,3.6212588174260762
0.38,3.6205121468711705,3.623286118632291,3.6243726015090942
0.39,3.624231465122028,3.6257242768440436,3.6272045373916626
0.4,3.6271925810608634,3.6281626419171644,3.6303849481634245
0.41000000000000003,3.630241715269227,3.6313284635543823,3.633515954017639
0.42,3.6330431284692635,3.6360294711117813,3.6367058142500834
0.43,3.635978927917847,3.6399141893798546,3.640027658072376
0.44,3.6394336225575143,3.6428778677062317,3.643585215570944
0.45,3.6438212683280162,3.6459620819318834,3.6471926921005293
0.46,3.6480207443237305,3.6498643932347923,3.651025777395275
0.47000000000000003,3.651838813327956,3.655109633996825,3.6549894128073537
0.48,3.6557394212315932,3.659921254917153,3.659270719516851
0.49,3.660548979444774,3.6639186980390415,3.663731305769474
0.5,3.6655275609523374,3.668197274208069,3.6684275130187194
0.51,3.6702799906097123,3.673358317512079,3.673695863804064
0.52,3.6758952140808105,3.6796511362536553,3.679261694647266
0.53,3.6816812165719583,3.6869811157529657,3.6857095173965098
0.54,3.688780175646486,3.6931756109430367,3.693039758849618
0.55,3.6967700131169314,3.7001231908798218,3.7022246839030766
0.56,3.70521356727098,3.709603786468506,3.7127201577559217
0.5700000000000001,3.715877288881369,3.719894528388977,3.72240348837935
0.58,3.7258098125457764,3.730185389518738,3.7315045595169067
0.59,3.73545241355896,3.7387811394178687,3.7403519719296465
0.6,3.7449328899383545,3.7465590858943845,3.7487711985237633
0.61,3.752968118152423,3.755741473368281,3.757478356361389
0.62,3.761948259897693,3.7651904821395874,3.765955537959962
0.63,3.7710245847702026,3.7755062751234925,3.774572826411564
0.64,3.7808802236556835,3.7844756841659546,3.7834188009390886
0.65,3.7905051395198273,3.7927084592139186,3.792433239555548
0.66,3.7987634379659507,3.8020797543962215,3.801470845944947
0.67,3.8076502084732056,3.8116381616245136,3.810558795928955
0.68,3.817556724497856,3.8217495679855347,3.8199534467946368
0.6900000000000001,3.827907919883728,3.8323704394431397,3.829543266206669
0.7000000000000001,3.8378745317459106,3.8410130533754225,3.8392408821493946
0.71,3.8468527279178106,3.851010702526958,3.849074602127075
0.72,3.856199868166985,3.861049175262451,3.85894408568414
0.73,3.8664934018417854,3.871390901468536,3.8690606355667114
0.74,3.877130980909686,3.8815565423714666,3.879062207845582
0.75,3.8878540924994853,3.8907063007354736,3.8893704414367676
0.76,3.897173264833448,3.9010425193872864,3.8995647901545576
0.77,3.9065107347281263,3.9110448360443115,3.9099884511603173
0.78,3.9172229287794806,3.921416759490967,3.9202363560924436
0.79,3.928184397343303,3.93227481842041,3.9306050725747363
0.8,3.939128293948081,3.941830972263702,3.9412930387216707
0.81,3.948881577224999,3.9523319194865167,3.9520275920065226
0.8200000000000001,3.958663461955158,3.962636097439531,3.9626311941966206
0.8300000000000001,3.9697108268737793,3.9730331897735596,3.9735197507902216
0.84,3.9816677729062255,3.9843569120383533,3.9844054643149835
0.85,3.9920750856399536,3.9947491884231567,3.995517835232441
0.86,4.002421835375386,4.006336450576782,4.00667947053904
0.87,4.013049806360655,4.01724351870204,4.018023927587516
0.88,4.0243221000517035,4.028111481513204,4.029451043336855
0.89,4.037435305718319,4.0395588874816895,4.041119328607213
0.9,4.048825903757923,4.050680027062759,4.052819490432739
